ward_number,ward_id,ac_no,ac_name
1,ward-001,10,"Tiruvottiyur"
2,ward-002,10,"Tiruvottiyur"
3,ward-003,10,"Tiruvottiyur"
4,ward-004,10,"Tiruvottiyur"
5,ward-005,10,"Tiruvottiyur"
6,ward-006,10,"Tiruvottiyur"
7,ward-007,10,"Tiruvottiyur"
8,ward-008,10,"Tiruvottiyur"
9,ward-009,10,"Tiruvottiyur"
10,ward-010,10,"Tiruvottiyur"
11,ward-011,10,"Tiruvottiyur"
12,ward-012,10,"Tiruvottiyur"
13,ward-013,10,"Tiruvottiyur"
14,ward-014,10,"Tiruvottiyur"
15,ward-015,2,"Ponneri (SC)"
16,ward-016,9,"Madavaram"
17,ward-017,9,"Madavaram"
18,ward-018,10,"Tiruvottiyur"
19,ward-019,9,"Madavaram"
20,ward-020,10,"Tiruvottiyur"
21,ward-021,10,"Tiruvottiyur"
22,ward-022,9,"Madavaram"
23,ward-023,9,"Madavaram"
24,ward-024,9,"Madavaram"
25,ward-025,9,"Madavaram"
26,ward-026,9,"Madavaram"
27,ward-027,9,"Madavaram"
28,ward-028,9,"Madavaram"
29,ward-029,10,"Tiruvottiyur"
30,ward-030,9,"Madavaram"
31,ward-031,9,"Madavaram"
32,ward-032,9,"Madavaram"
33,ward-033,9,"Madavaram"
34,ward-034,12,"Perambur"
35,ward-035,12,"Perambur"
36,ward-036,12,"Perambur"
37,ward-037,12,"Perambur"
38,ward-038,11,"Dr.Radhakrishnan Naga"
39,ward-039,11,"Dr.Radhakrishnan Naga"
40,ward-040,11,"Dr.Radhakrishnan Naga"
41,ward-041,11,"Dr.Radhakrishnan Naga"
42,ward-042,11,"Dr.Radhakrishnan Naga"
43,ward-043,11,"Dr.Radhakrishnan Naga"
44,ward-044,12,"Perambur"
45,ward-045,12,"Perambur"
46,ward-046,12,"Perambur"
47,ward-047,11,"Dr.Radhakrishnan Naga"
48,ward-048,11,"Dr.Radhakrishnan Naga"
49,ward-049,17,"Royapuram"
50,ward-050,17,"Royapuram"
51,ward-051,17,"Royapuram"
52,ward-052,17,"Royapuram"
53,ward-053,17,"Royapuram"
54,ward-054,18,"Harbour"
55,ward-055,18,"Harbour"
56,ward-056,18,"Harbour"
57,ward-057,18,"Harbour"
58,ward-058,16,"Egmore (SC)"
59,ward-059,18,"Harbour"
60,ward-060,18,"Harbour"
61,ward-061,16,"Egmore (SC)"
62,ward-062,19,"Chepauk-Thiruvalliken"
63,ward-063,19,"Chepauk-Thiruvalliken"
64,ward-064,13,"Kolathur"
65,ward-065,13,"Kolathur"
66,ward-066,13,"Kolathur"
67,ward-067,13,"Kolathur"
68,ward-068,13,"Kolathur"
69,ward-069,13,"Kolathur"
70,ward-070,15,"Thiru-Vi-Ka-Nagar(SC)"
71,ward-071,15,"Thiru-Vi-Ka-Nagar(SC)"
72,ward-072,15,"Thiru-Vi-Ka-Nagar(SC)"
73,ward-073,15,"Thiru-Vi-Ka-Nagar(SC)"
74,ward-074,15,"Thiru-Vi-Ka-Nagar(SC)"
75,ward-075,15,"Thiru-Vi-Ka-Nagar(SC)"
76,ward-076,15,"Thiru-Vi-Ka-Nagar(SC)"
77,ward-077,16,"Egmore (SC)"
78,ward-078,16,"Egmore (SC)"
79,ward-079,8,"Ambattur"
80,ward-080,8,"Ambattur"
81,ward-081,8,"Ambattur"
82,ward-082,8,"Ambattur"
83,ward-083,8,"Ambattur"
84,ward-084,8,"Ambattur"
85,ward-085,8,"Ambattur"
86,ward-086,8,"Ambattur"
87,ward-087,8,"Ambattur"
88,ward-088,8,"Ambattur"
89,ward-089,8,"Ambattur"
90,ward-090,8,"Ambattur"
91,ward-091,8,"Ambattur"
92,ward-092,8,"Ambattur"
93,ward-093,8,"Ambattur"
94,ward-094,14,"Villivakkam"
95,ward-095,14,"Villivakkam"
96,ward-096,14,"Villivakkam"
97,ward-097,14,"Villivakkam"
98,ward-098,14,"Villivakkam"
99,ward-099,14,"Villivakkam"
100,ward-100,21,"Anna Nagar"
101,ward-101,21,"Anna Nagar"
102,ward-102,21,"Anna Nagar"
103,ward-103,21,"Anna Nagar"
104,ward-104,21,"Anna Nagar"
105,ward-105,21,"Anna Nagar"
106,ward-106,21,"Anna Nagar"
107,ward-107,16,"Egmore (SC)"
108,ward-108,21,"Anna Nagar"
109,ward-109,20,"Thousand Lights"
110,ward-110,20,"Thousand Lights"
111,ward-111,20,"Thousand Lights"
112,ward-112,20,"Thousand Lights"
113,ward-113,20,"Thousand Lights"
114,ward-114,19,"Chepauk-Thiruvalliken"
115,ward-115,19,"Chepauk-Thiruvalliken"
116,ward-116,19,"Chepauk-Thiruvalliken"
117,ward-117,20,"Thousand Lights"
118,ward-118,20,"Thousand Lights"
119,ward-119,19,"Chepauk-Thiruvalliken"
120,ward-120,19,"Chepauk-Thiruvalliken"
121,ward-121,25,"Mylapore"
122,ward-122,25,"Mylapore"
123,ward-123,25,"Mylapore"
124,ward-124,25,"Mylapore"
125,ward-125,25,"Mylapore"
126,ward-126,25,"Mylapore"
127,ward-127,22,"Virugampakkam"
128,ward-128,22,"Virugampakkam"
129,ward-129,22,"Virugampakkam"
130,ward-130,24,"Thiyagarayanagar"
131,ward-131,22,"Virugampakkam"
132,ward-132,24,"Thiyagarayanagar"
133,ward-133,24,"Thiyagarayanagar"
134,ward-134,24,"Thiyagarayanagar"
135,ward-135,24,"Thiyagarayanagar"
136,ward-136,24,"Thiyagarayanagar"
137,ward-137,22,"Virugampakkam"
138,ward-138,22,"Virugampakkam"
139,ward-139,23,"Saidapet"
140,ward-140,23,"Saidapet"
141,ward-141,20,"Thousand Lights"
142,ward-142,23,"Saidapet"
143,ward-143,7,"Maduravoyal"
144,ward-144,7,"Maduravoyal"
145,ward-145,7,"Maduravoyal"
146,ward-146,7,"Maduravoyal"
147,ward-147,7,"Maduravoyal"
148,ward-148,7,"Maduravoyal"
149,ward-149,7,"Maduravoyal"
150,ward-150,7,"Maduravoyal"
151,ward-151,7,"Maduravoyal"
152,ward-152,7,"Maduravoyal"
153,ward-153,28,"Alandur"
154,ward-154,7,"Maduravoyal"
155,ward-155,7,"Maduravoyal"
156,ward-156,28,"Alandur"
157,ward-157,28,"Alandur"
158,ward-158,28,"Alandur"
159,ward-159,28,"Alandur"
160,ward-160,28,"Alandur"
161,ward-161,28,"Alandur"
162,ward-162,28,"Alandur"
163,ward-163,28,"Alandur"
164,ward-164,28,"Alandur"
165,ward-165,28,"Alandur"
166,ward-166,28,"Alandur"
167,ward-167,28,"Alandur"
168,ward-168,28,"Alandur"
169,ward-169,27,"Shozhinganallur"
