city_id,ward_id,ward_number,ward_name,zone_name,assembly_constituency
chennai,ward-001,1,Ward 1,Zone Thiruvottiyur,Tiruvottiyur
chennai,ward-002,2,Ward 2,Zone Thiruvottiyur,Tiruvottiyur
chennai,ward-003,3,Ward 3,Zone Thiruvottiyur,Tiruvottiyur
chennai,ward-004,4,Ward 4,Zone Thiruvottiyur,Tiruvottiyur
chennai,ward-005,5,Ward 5,Zone Thiruvottiyur,Tiruvottiyur
chennai,ward-006,6,Ward 6,Zone Thiruvottiyur,Tiruvottiyur
chennai,ward-007,7,Ward 7,Zone Thiruvottiyur,Tiruvottiyur
chennai,ward-008,8,Ward 8,Zone Thiruvottiyur,Tiruvottiyur
chennai,ward-009,9,Ward 9,Zone Thiruvottiyur,Tiruvottiyur
chennai,ward-010,10,Ward 10,Zone Thiruvottiyur,Tiruvottiyur
chennai,ward-011,11,Ward 11,Zone Thiruvottiyur,Tiruvottiyur
chennai,ward-012,12,Ward 12,Zone Thiruvottiyur,Tiruvottiyur
chennai,ward-013,13,Ward 13,Zone Thiruvottiyur,Tiruvottiyur
chennai,ward-014,14,Ward 14,Zone Thiruvottiyur,Tiruvottiyur
chennai,ward-015,15,Ward 15,Zone Manali,Ponneri
chennai,ward-016,16,Ward 16,Zone Manali,Madavaram
chennai,ward-017,17,Ward 17,Zone Manali,Madavaram
chennai,ward-018,18,Ward 18,Zone Manali,Tiruvottiyur
chennai,ward-019,19,Ward 19,Zone Manali,Madavaram
chennai,ward-020,20,Ward 20,Zone Manali,Tiruvottiyur
chennai,ward-021,21,Ward 21,Zone Manali,Tiruvottiyur
chennai,ward-022,22,Ward 22,Zone Madhavaram,Madavaram
chennai,ward-023,23,Ward 23,Zone Madhavaram,Madavaram
chennai,ward-024,24,Ward 24,Zone Madhavaram,Madavaram
chennai,ward-025,25,Ward 25,Zone Madhavaram,Madavaram
chennai,ward-026,26,Ward 26,Zone Madhavaram,Madavaram
chennai,ward-027,27,Ward 27,Zone Madhavaram,Madavaram
chennai,ward-028,28,Ward 28,Zone Madhavaram,Madavaram
chennai,ward-029,29,Ward 29,Zone Madhavaram,Tiruvottiyur
chennai,ward-030,30,Ward 30,Zone Madhavaram,Madavaram
chennai,ward-031,31,Ward 31,Zone Madhavaram,Madavaram
chennai,ward-032,32,Ward 32,Zone Madhavaram,Madavaram
chennai,ward-033,33,Ward 33,Zone Madhavaram,Madavaram
chennai,ward-034,34,Ward 34,Zone Tondiarpet,Perambur
chennai,ward-035,35,Ward 35,Zone Tondiarpet,Perambur
chennai,ward-036,36,Ward 36,Zone Tondiarpet,Perambur
chennai,ward-037,37,Ward 37,Zone Tondiarpet,Perambur
chennai,ward-038,38,Ward 38,Zone Tondiarpet,Dr. Radhakrishnan Naga
chennai,ward-039,39,Ward 39,Zone Tondiarpet,Dr. Radhakrishnan Naga
chennai,ward-040,40,Ward 40,Zone Tondiarpet,Dr. Radhakrishnan Naga
chennai,ward-041,41,Ward 41,Zone Tondiarpet,Dr. Radhakrishnan Naga
chennai,ward-042,42,Ward 42,Zone Tondiarpet,Dr. Radhakrishnan Naga
chennai,ward-043,43,Ward 43,Zone Tondiarpet,Dr. Radhakrishnan Naga
chennai,ward-044,44,Ward 44,Zone Tondiarpet,Perambur
chennai,ward-045,45,Ward 45,Zone Tondiarpet,Perambur
chennai,ward-046,46,Ward 46,Zone Tondiarpet,Perambur
chennai,ward-047,47,Ward 47,Zone Tondiarpet,Dr. Radhakrishnan Naga
chennai,ward-048,48,Ward 48,Zone Tondiarpet,Dr. Radhakrishnan Naga
chennai,ward-049,49,Ward 49,Zone Royapuram,Royapuram
chennai,ward-050,50,Ward 50,Zone Royapuram,Royapuram
chennai,ward-051,51,Ward 51,Zone Royapuram,Royapuram
chennai,ward-052,52,Ward 52,Zone Royapuram,Royapuram
chennai,ward-053,53,Ward 53,Zone Royapuram,Royapuram
chennai,ward-054,54,Ward 54,Zone Royapuram,Harbour
chennai,ward-055,55,Ward 55,Zone Royapuram,Harbour
chennai,ward-056,56,Ward 56,Zone Royapuram,Harbour
chennai,ward-057,57,Ward 57,Zone Royapuram,Harbour
chennai,ward-058,58,Ward 58,Zone Royapuram,Egmore
chennai,ward-059,59,Ward 59,Zone Royapuram,Harbour
chennai,ward-060,60,Ward 60,Zone Royapuram,Harbour
chennai,ward-061,61,Ward 61,Zone Royapuram,Egmore
chennai,ward-062,62,Ward 62,Zone Royapuram,Chepauk-Thiruvalliken
chennai,ward-063,63,Ward 63,Zone Royapuram,Chepauk-Thiruvalliken
chennai,ward-064,64,Ward 64,Zone Thiru-vi-ka-nagar,Kolathur
chennai,ward-065,65,Ward 65,Zone Thiru-vi-ka-nagar,Kolathur
chennai,ward-066,66,Ward 66,Zone Thiru-vi-ka-nagar,Kolathur
chennai,ward-067,67,Ward 67,Zone Thiru-vi-ka-nagar,Kolathur
chennai,ward-068,68,Ward 68,Zone Thiru-vi-ka-nagar,Kolathur
chennai,ward-069,69,Ward 69,Zone Thiru-vi-ka-nagar,Kolathur
chennai,ward-070,70,Ward 70,Zone Thiru-vi-ka-nagar,Thiru-Vi-Ka-Nagar
chennai,ward-071,71,Ward 71,Zone Thiru-vi-ka-nagar,Thiru-Vi-Ka-Nagar
chennai,ward-072,72,Ward 72,Zone Thiru-vi-ka-nagar,Thiru-Vi-Ka-Nagar
chennai,ward-073,73,Ward 73,Zone Thiru-vi-ka-nagar,Thiru-Vi-Ka-Nagar
chennai,ward-074,74,Ward 74,Zone Thiru-vi-ka-nagar,Thiru-Vi-Ka-Nagar
chennai,ward-075,75,Ward 75,Zone Thiru-vi-ka-nagar,Thiru-Vi-Ka-Nagar
chennai,ward-076,76,Ward 76,Zone Thiru-vi-ka-nagar,Thiru-Vi-Ka-Nagar
chennai,ward-077,77,Ward 77,Zone Thiru-vi-ka-nagar,Egmore
chennai,ward-078,78,Ward 78,Zone Thiru-vi-ka-nagar,Egmore
chennai,ward-079,79,Ward 79,Zone Ambattur,Ambattur
chennai,ward-080,80,Ward 80,Zone Ambattur,Ambattur
chennai,ward-081,81,Ward 81,Zone Ambattur,Ambattur
chennai,ward-082,82,Ward 82,Zone Ambattur,Ambattur
chennai,ward-083,83,Ward 83,Zone Ambattur,Ambattur
chennai,ward-084,84,Ward 84,Zone Ambattur,Ambattur
chennai,ward-085,85,Ward 85,Zone Ambattur,Ambattur
chennai,ward-086,86,Ward 86,Zone Ambattur,Ambattur
chennai,ward-087,87,Ward 87,Zone Ambattur,Ambattur
chennai,ward-088,88,Ward 88,Zone Ambattur,Ambattur
chennai,ward-089,89,Ward 89,Zone Ambattur,Ambattur
chennai,ward-090,90,Ward 90,Zone Ambattur,Ambattur
chennai,ward-091,91,Ward 91,Zone Ambattur,Ambattur
chennai,ward-092,92,Ward 92,Zone Ambattur,Ambattur
chennai,ward-093,93,Ward 93,Zone Ambattur,Ambattur
chennai,ward-094,94,Ward 94,Zone Annanagar,Villivakkam
chennai,ward-095,95,Ward 95,Zone Annanagar,Villivakkam
chennai,ward-096,96,Ward 96,Zone Annanagar,Villivakkam
chennai,ward-097,97,Ward 97,Zone Annanagar,Villivakkam
chennai,ward-098,98,Ward 98,Zone Annanagar,Villivakkam
