city_id,ward_id,ward_number,ward_name,zone_name,locality_name,place_type,osm_type,osm_id,lat,lng,source_name,source_url,is_verified,notes
chennai,ward-001,1,Ward 1,Zone Thiruvottiyur,CMWSSB Division 1,neighbourhood,way,964273551,13.2265373,80.3236635,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273551,false,
chennai,ward-001,1,Ward 1,Zone Thiruvottiyur,Ennore,suburb,node,309346480,13.2258262,80.3243551,OpenStreetMap Overpass,https://www.openstreetmap.org/node/309346480,false,
chennai,ward-001,1,Ward 1,Zone Thiruvottiyur,Thazhankuppam,village,node,309346481,13.2271357,80.3281547,OpenStreetMap Overpass,https://www.openstreetmap.org/node/309346481,false,
chennai,ward-002,2,Ward 2,Zone Thiruvottiyur,CMWSSB Division 2,neighbourhood,way,964273550,13.2156430,80.3174425,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273550,false,
chennai,ward-002,2,Ward 2,Zone Thiruvottiyur,Kathivakkam,suburb,node,309346479,13.2141807,80.3187499,OpenStreetMap Overpass,https://www.openstreetmap.org/node/309346479,false,
chennai,ward-002,2,Ward 2,Zone Thiruvottiyur,Nehru Nagar,neighbourhood,node,373077161,13.2159326,80.3187286,OpenStreetMap Overpass,https://www.openstreetmap.org/node/373077161,false,
chennai,ward-003,3,Ward 3,Zone Thiruvottiyur,All India Radio Housing Board,neighbourhood,node,9853561285,13.1872085,80.3123029,OpenStreetMap Overpass,https://www.openstreetmap.org/node/9853561285,false,
chennai,ward-003,3,Ward 3,Zone Thiruvottiyur,CMWSSB Division 3,neighbourhood,way,964273549,13.1969690,80.3130165,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273549,false,
chennai,ward-003,3,Ward 3,Zone Thiruvottiyur,Ernavur,suburb,node,281997418,13.1893545,80.3111383,OpenStreetMap Overpass,https://www.openstreetmap.org/node/281997418,false,
chennai,ward-003,3,Ward 3,Zone Thiruvottiyur,Sivakami Nagar,neighbourhood,node,12458053019,13.1976526,80.3172985,OpenStreetMap Overpass,https://www.openstreetmap.org/node/12458053019,false,
chennai,ward-004,4,Ward 4,Zone Thiruvottiyur,CMWSSB Division 4,neighbourhood,way,964273548,13.1855380,80.3044840,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273548,false,
